Date;Mkt-RF;SMB;HML;RF;Mkt_EW;Mkt_EW-rf;MOM;RMW;CMA;SMB5;LT_Rev;ST_Rev
193207;33,84;-4,44;35,46;0,03;43,36;43,33;-43,94;;;;17,47;-1,58
193208;37,06;14,29;33,03;0,03;66,41;66,38;-52,27;;;;22,08;-19,9
193209;-2,94;-2,44;-6,82;0,03;-5,57;-5,6;2,44;;;;-8,1;9,55
193210;-13,17;-2,76;-10,05;0,02;-16,54;-16,56;4,29;;;;-8,24;-1,53
193211;-5,88;2,08;-13,28;0,02;-6,75;-6,77;-2,07;;;;-6,27;-0,06
193212;4,4;-8,27;-8,17;0,01;-3,68;-3,69;5,26;;;;-8,73;-0,56
193301;1,25;0,69;6,23;0,01;3,57;3,56;-1,5;;;;2,32;7,72
193302;-15,24;-2,75;-2,73;-0,03;-15,58;-15,55;4,17;;;;-3,42;3,13
193303;3,29;3,9;7,38;0,04;10,38;10,34;2,21;;;;6,41;10,16
193304;38,85;4,56;17,43;0,1;51,17;51,07;-15,95;;;;36,45;-12,28
193305;21,43;36,7;19,03;0,04;60,23;60,19;-3,91;;;;32,99;2,49
193306;13,11;8,56;-2,05;0,02;22,34;22,32;3,38;;;;10,29;0
193307;-9,63;-1,01;3,27;0,02;-9,35;-9,37;0,39;;;;0,5;7,96
193308;12,05;-5,45;2,96;0,03;11,15;11,12;7,55;;;;2,79;8,29
193309;-10,65;-0,32;-11,77;0,02;-15,08;-15,1;1,65;;;;-14,07;-0,45
193310;-8,36;-0,08;-8,46;0,01;-10,67;-10,68;-2,4;;;;-6,11;-1,18
193311;9,97;-6,48;2,33;0,02;6,6;6,58;6,43;;;;2,29;5,97
193312;1,83;0,66;-1,53;0,02;1,76;1,74;4,06;;;;-0,38;-0,69
193401;12,6;12,53;15,54;0,05;32,11;32,06;-3,37;;;;26,95;9,78
193402;-2,5;5,19;2,12;0,02;1,26;1,24;-0,35;;;;1,86;2,18
193403;0,09;2,51;-2,73;0,02;0,62;0,6;-0,69;;;;-1,55;1,28
193404;-1,79;2,8;-3,75;0,01;-0,13;-0,14;-5,12;;;;-4,04;0,08
193405;-7,25;-0,26;-5,91;0,01;-10,89;-10,9;-2,7;;;;-7,54;-6,07
193406;2,64;-2,14;-2,92;0,01;0,13;0,12;-0,9;;;;-4,54;-0,85
193407;-10,96;-6,92;-10,64;0,01;-18,56;-18,57;8,63;;;;-13,43;-4,97
193408;5,58;5,39;0,45;0,01;9,58;9,57;2,41;;;;5,41;12,75
193409;-0,23;-1,5;-1,22;0,01;-1,07;-1,08;0,03;;;;0,02;1,81
193410;-1,66;1,25;-5,11;0,01;-2,01;-2,02;7,04;;;;-4,1;0,02
193411;8,33;6,5;-2,24;0,01;13,1;13,09;4,14;;;;2,89;2,09
193412;0,36;3,06;-3,2;0,01;1,39;1,38;4,66;;;;-2,07;-2,96
193501;-3,45;1,1;-1,86;0,01;-3,16;-3,17;3,61;;;;-2,1;2,77
193502;-1,94;0,41;-7,27;0,02;-5,58;-5,6;13,85;;;;-8,58;-2,95
193503;-3,68;-3,57;-5,1;0,01;-7,29;-7,3;2,86;;;;-0,46;-2,04
193504;9,06;-1,51;4,35;0,01;9,76;9,75;-4,72;;;;5,49;3,09
193505;3,47;-3,38;2,56;0,01;2,4;2,39;-3,62;;;;2,09;3,97
193506;5,93;-2,51;-1,65;0,01;4,17;4,16;2,06;;;;0,09;1,98
193507;7,51;1,47;6,86;0,01;11,05;11,04;-4,21;;;;9,72;-1,23
193508;2,65;6,28;5,7;0,01;8,4;8,39;-7,69;;;;9,84;-3,45
193509;2,63;1,57;-4,05;0,01;2,36;2,35;8,93;;;;0,05;-0,59
193510;7,03;2,64;-2,33;0,01;8,45;8,44;2,09;;;;5,71;1,69
193511;4,88;4,28;11,91;0,02;14,67;14,65;-5,91;;;;7,61;5,81
193512;4,56;0,23;1,07;0,01;5,9;5,89;3,75;;;;1,38;-3,21
193601;6,89;5,14;10,51;0,01;15,02;15,01;-3,36;;;;12,34;-1,46
193602;2,49;1,14;5,04;0,01;4,31;4,3;2,51;;;;1,8;1,94
193603;0,99;0,65;-1,66;0,02;0,89;0,87;1,79;;;;-1,58;1,79
193604;-8,14;-6,04;-2,08;0,02;-12,33;-12,35;-7,88;;;;-6,97;-0,69
193605;5,19;0,83;2,63;0,02;5,28;5,26;2,44;;;;3,24;3,37
193606;2,4;-3,26;-1,2;0,03;-0,02;-0,05;0,46;;;;-2,35;1,19
193607;6,67;1,14;2,56;0,01;7,98;7,97;3;;;;4,67;2,6
193608;0,99;0,72;3,99;0,02;2,15;2,13;0,56;;;;2,34;-0,59
193609;0,98;3,07;0,88;0,01;3,38;3,37;1,26;;;;-0,89;1,25
193610;7,12;-2,39;2,52;0,02;6,62;6,6;1,04;;;;1,65;0,28
193611;3,27;9,01;-0,92;0,01;9,33;9,32;2,18;;;;-2,12;-2,09
193612;0,21;3,61;3,96;0;2,68;2,68;2,11;;;;3,44;-3,16
193701;3,35;4,31;2,61;0,01;7,74;7,73;-1,85;;;;1,16;-2,23
193702;1,09;1,23;5,05;0,02;2,7;2,68;2,98;;;;-0,33;2,38
193703;-0,27;-1,78;6,39;0,01;0,06;0,05;2,81;;;;-1,82;-2,84
193704;-7,36;-3,77;-3,61;0,03;-10,11;-10,14;-3,71;;;;-0,08;1,52
193705;-0,83;-0,66;-3,49;0,06;-2,33;-2,39;0,51;;;;-2,75;0,09
193706;-4,21;-3,65;-3,21;0,03;-7,67;-7,7;0,68;;;;0,69;-2,1
193707;8,91;0,85;0,82;0,03;9,94;9,91;-0,4;;;;-1,2;6,62
193708;-4,86;0,42;-2,25;0,02;-5,4;-5,42;-1,79;;;;-2,12;4,15
193709;-13,61;-6,89;-4,57;0,04;-19,41;-19,45;-7,14;;;;-3,53;-5,9
193710;-9,61;0,45;-1,62;0,02;-10,12;-10,14;-1,56;;;;2,32;-3,58
193711;-8,31;-3,65;0,2;0,02;-10,98;-11;-0,97;;;;2,82;-1,75
193712;-4,24;-7,76;-0,39;0;-10,24;-10,24;4,7;;;;1,05;-3,3
193801;0,49;4,97;-1,6;0;4,23;4,23;-1,44;;;;-0,21;6,7
193802;5,84;0,35;-2,02;0;6,09;6,09;-3,08;;;;-3,68;4,49
193803;-23,82;-4,24;-3,52;-0,01;-28,46;-28,45;15,75;;;;7,94;8,24
193804;14,51;6,37;0,18;0,01;20,18;20,17;-8,88;;;;-3,31;13,68
193805;-3,83;-2,47;-0,28;0;-7,01;-7,01;7,13;;;;3,82;7,14
193806;23,87;4,05;0,3;0;31,13;31,13;-24,86;;;;-12,35;23,95
193807;7,34;6,66;2,18;-0,01;12,22;12,23;-6,44;;;;-2,97;-3,94
193808;-2,67;-2,44;-4,72;0;-6,32;-6,32;3,95;;;;-3,15;-1,08
193809;0,81;-2,72;-1,62;0,02;-1,52;-1,54;2,53;;;;-0,56;1,02
193810;7,8;5,83;5,01;0,01;14,31;14,3;-7,7;;;;5,56;3,6
193811;-1,72;-2,56;-1,23;-0,06;-3,79;-3,73;3,13;;;;-2,95;1,42
193812;4,19;-1,8;0,5;0;3,25;3,25;2,05;;;;-1,35;2,44
193901;-5,96;-1,56;-3,92;-0,01;-7,57;-7,56;-3,05;;;;-1,03;4,5
193902;3,51;0,63;2,95;0,01;4,14;4,13;3,25;;;;2,35;3,92
