Date;Mkt-RF;SMB;HML;RF;Mkt_EW;Mkt_EW-rf;MOM;RMW;CMA;SMB5;LT_Rev;ST_Rev
195202;-2,62;0,79;-0,6;0,12;-2,07;-2,19;-0,75;;;;0,93;1,1
195203;4,44;-2,99;2,16;0,11;2,87;2,76;1,65;;;;-2,4;0,6
195204;-4,97;0,48;-0,1;0,12;-4,45;-4,57;-2,04;;;;1,78;0,4
195205;3,2;-1,01;0,07;0,13;2,38;2,25;0,49;;;;-1,84;1,55
195206;3,83;-1,61;1,23;0,15;3,08;2,93;1,5;;;;-1,66;0,72
195207;0,91;-0,4;-0,33;0,15;1,05;0,9;-0,52;;;;-0,65;1,09
195208;-0,76;1,15;0,07;0,15;0,04;-0,11;0,31;;;;0,4;0,36
195209;-2,03;1,12;-1,44;0,16;-1,51;-1,67;1,76;;;;0,92;-1,18
195210;-0,66;-1,02;-0,54;0,14;-1,14;-1,28;2,75;;;;0,46;0,75
195211;5,94;-0,72;0,99;0,1;5,58;5,48;0,44;;;;-0,84;1,81
195212;2,93;-1,48;0,2;0,16;2,28;2,12;1,51;;;;-0,7;2,06
195301;-0,34;3,55;1,34;0,16;2,44;2,28;0,72;;;;1,46;2,16
195302;-0,27;2,16;-0,09;0,14;1,23;1,09;0,86;;;;0,94;-0,58
195303;-1,43;-0,18;-0,84;0,18;-1,09;-1,27;0,08;;;;0,98;0,71
195304;-2,83;0,27;1,54;0,16;-2,34;-2,5;1,85;;;;1,91;0,69
195305;0,52;-0,07;0,24;0,17;0,62;0,45;0,94;;;;-1,3;0,32
195306;-1,89;-1,85;-0,51;0,18;-3,2;-3,38;-0,01;;;;-0,9;-0,05
195307;2,4;-1,05;-0,23;0,15;1,75;1,6;-0,31;;;;-0,6;0,86
195308;-4,52;0,36;-3,54;0,17;-5,13;-5,3;2,21;;;;0,86;0,33
195309;0,2;-0,85;-2,42;0,16;-1,09;-1,25;2,88;;;;-0,4;-0,73
195310;4,6;-1,37;-0,2;0,13;3,74;3,61;0,27;;;;-3,37;0,24
195311;2,83;-1,3;-0,16;0,08;2,15;2,07;1,95;;;;-0,84;-0,2
195312;0,03;-0,85;-2,82;0,13;-1,5;-1,63;5,19;;;;-1,18;-1,24
195401;5,13;0,47;3,49;0,11;7,13;7,02;-5,74;;;;-0,42;4,98
195402;1,67;-0,17;-0,29;0,07;1,35;1,28;1,03;;;;-0,96;1,2
195403;3,65;-0,49;-1,45;0,08;2,85;2,77;2,2;;;;-2,26;0,12
195404;4,27;-3,48;-0,37;0,09;1,64;1,55;4,98;;;;-3,1;-1,44
195405;3,09;0,39;2,46;0,05;4,25;4,2;-1,99;;;;-1,13;2,58
195406;1,07;0,4;-0,01;0,06;1,26;1,2;3,52;;;;-1,08;1,95
195407;4,99;1,05;4,16;0,05;7,21;7,16;0,44;;;;0,66;1,23
195408;-2,34;2,68;-1,39;0,05;-0,93;-0,98;-0,64;;;;0,05;2,09
195409;6,39;-2,55;0,69;0,09;4,38;4,29;1,54;;;;-3,32;-0,37
195410;-1,67;0,6;0,68;0,07;-0,69;-0,76;0,96;;;;-0,9;0,37
195411;9,38;-2,64;4,39;0,06;9,06;9;1,93;;;;-1,66;-0,68
195412;5,48;2,17;5,65;0,08;8,83;8,75;-1,41;;;;-0,01;-0,1
195501;0,6;0,27;2,14;0,08;1,41;1,33;1,36;;;;-0,95;1,77
195502;3,02;1,56;0,59;0,09;4,28;4,19;1,09;;;;-1,88;1,71
195503;-0,16;-0,67;1,97;0,1;0,09;-0,01;1,03;;;;0,08;1,25
195504;3,11;-1,72;0,68;0,1;2,36;2,26;0,09;;;;-0,05;1,3
195505;0,93;-0,24;-0,96;0,14;0,71;0,57;0,56;;;;-0,06;0,07
195506;6,55;-4,61;1,84;0,1;3,53;3,43;4,66;;;;-3,21;-0,87
195507;1,9;-1,16;0,34;0,1;0,74;0,64;-1,23;;;;-0,35;-1,39
195508;0,21;-0,44;0,72;0,16;0,55;0,39;1,79;;;;0,08;2,54
195509;-0,36;0,28;-0,99;0,16;-0,8;-0,96;1,77;;;;0,2;2,58
195510;-2,68;1,51;-0,16;0,18;-1,69;-1,87;-0,5;;;;0,01;0
195511;7,03;-2,2;0,32;0,17;5,51;5,34;2,67;;;;-3;3,65
195512;1,49;2,12;-2,29;0,18;2,24;2,06;-1,33;;;;-0,45;-0,14
195601;-3,03;0,4;0,94;0,22;-2,05;-2,27;-1,48;;;;1,3;0,98
195602;3,77;-0,98;-0,43;0,19;3,35;3,16;1,97;;;;-1,73;2,92
195603;6,64;-2,14;-0,5;0,15;5,12;4,97;3,59;;;;-2,86;-2,42
195604;0,28;0,04;-0,25;0,19;0,41;0,22;2,57;;;;-1,17;-1,49
195605;-5,2;1,46;-1,31;0,23;-3,99;-4,22;-1,62;;;;0,08;1,97
195606;3,48;-1,48;-1,13;0,2;2,13;1,93;2,71;;;;-1,42;0,8
195607;4,84;-1,67;-0,05;0,22;3,96;3,74;2,52;;;;-1,9;-1,14
195608;-3,18;1,9;-0,72;0,17;-1,79;-1,96;-0,69;;;;0,63;2,1
195609;-5,14;1,57;1,77;0,18;-3,58;-3,76;-0,76;;;;0,98;-1,36
195610;0,52;-0,09;-0,06;0,25;0,73;0,48;2,46;;;;-0,45;0,43
195611;0,36;-0,22;1,77;0,2;0,56;0,36;3,41;;;;2,39;-1,46
195612;3,16;-0,02;-2,16;0,24;2,3;2,06;3,81;;;;-1,25;0,1
195701;-3,58;3,37;2,82;0,27;0,3;0,03;-3,05;;;;4,96;3,64
195702;-2,06;-0,72;-0,72;0,24;-2,28;-2,52;0,31;;;;1,11;-0,12
195703;2,13;0,27;-0,46;0,23;2,23;2;-0,18;;;;-0,63;1,08
195704;4,26;-1,61;-1,47;0,25;2,58;2,33;0,96;;;;-1,9;-0,54
195705;3,45;-1,05;-2,1;0,26;2,14;1,88;0,44;;;;-2,06;0,2
195706;-0,74;0,55;0,03;0,24;-0,75;-0,99;0,77;;;;-1,56;-0,83
195707;0,66;-0,77;0,42;0,3;0,55;0,25;-0,07;;;;-0,56;0,59
195708;-5,11;0,05;-0,42;0,25;-4,91;-5,16;0,49;;;;2,1;0,38
195709;-5,98;0,06;0,91;0,26;-5,32;-5,58;0,62;;;;2,47;-4,04
195710;-4,32;-2,53;-1,83;0,29;-6,48;-6,77;1,94;;;;-0,14;-3,54
195711;2,3;0,37;-2,89;0,28;2,08;1,8;1,24;;;;-0,82;-0,16
195712;-3,91;-0,98;-1,61;0,24;-4,84;-5,08;7,79;;;;1,66;-1,2
195801;4,66;4,38;4,19;0,28;10,66;10,38;-7,63;;;;2,5;5,46
195802;-1,52;0,68;0,37;0,12;-1,13;-1,25;3,75;;;;0,82;1,79
195803;3,27;0,65;-0,96;0,09;3,58;3,49;-1,85;;;;-0,69;1,15
195804;3,09;-0,65;1,64;0,08;3,09;3,01;1,85;;;;1,13;-0,44
195805;2,31;2,19;-0,25;0,11;3,92;3,81;-1,82;;;;0,29;1,19
195806;2,93;-0,19;0,4;0,03;3,23;3,2;-0,87;;;;-0,68;1,96
195807;4,39;0,52;3,04;0,07;5,42;5,35;-3,62;;;;-2,12;2,7
195808;1,91;1,17;0,36;0,04;3,03;2,99;0,28;;;;0,65;1,71
195809;4,66;0,13;2,85;0,19;5,24;5,05;-1,13;;;;-0,65;2,55
195810;2,53;1,11;-1,18;0,18;3,26;3,08;3,12;;;;-0,99;1,32
195811;3,01;2;-1,19;0,11;4,29;4,18;1,57;;;;-0,36;0,72
195812;5,15;-2,04;-0,01;0,22;3,88;3,66;-0,65;;;;-0,33;1,87
195901;0,71;3,01;2,96;0,21;4,22;4,01;-0,24;;;;1,98;1,12
195902;0,95;1,51;1,1;0,19;2,83;2,64;3,4;;;;0,39;0,58
195903;0,28;1,5;-0,38;0,22;1,17;0,95;0,13;;;;-0,46;0,36
195904;3,66;-0,55;-1,33;0,2;2,65;2,45;3,15;;;;-0,46;0,08
195905;1,73;-2,1;1,7;0,22;0,78;0,56;1,5;;;;0,9;-0,71
195906;-0,25;0,65;1,35;0,25;0,51;0,26;2,91;;;;-0,03;0,91
195907;3,17;-0,3;0,23;0,25;3,05;2,8;-0,32;;;;-0,41;-0,09
195908;-1,39;-0,76;0,45;0,19;-1,43;-1,62;-0,95;;;;-1,13;-0,51
195909;-4,8;-0,09;0,55;0,31;-4,51;-4,82;0,85;;;;-0,12;-0,11
195910;1,28;1,45;-2,1;0,3;2,12;1,82;3,48;;;;-0,07;1,18
195911;1,6;1,24;-3,22;0,26;1,54;1,28;2,26;;;;-0,37;-1,62
195912;2,45;-0,58;-0,07;0,34;2,22;1,88;0,99;;;;-0,52;1,45
196001;-6,98;2,08;2,79;0,33;-3,88;-4,21;-3,49;;;;0,9;3,37
196002;1,17;0,51;-1,93;0,29;0,84;0,55;3,86;;;;-0,77;-0,53
196003;-1,63;-0,49;-2,94;0,35;-2,42;-2,77;1,43;;;;-1,41;-0,77
196004;-1,71;0,32;-2,29;0,19;-1,97;-2,16;2,81;;;;-1,2;-2,28
196005;3,12;1,22;-3,7;0,27;2,23;1,96;4,81;;;;-3,5;-3,55
196006;2,08;-0,22;-0,34;0,24;2,21;1,97;0,86;;;;-0,11;1,15
196007;-2,37;-0,52;2,03;0,13;-1,91;-2,04;-0,78;;;;0,28;1,13
196008;3,01;0,87;-0,18;0,17;3,81;3,64;1,92;;;;1,03;-1,24
196009;-5,99;-1,11;1,65;0,16;-6,04;-6,2;0,31;;;;1,27;-0,05
196010;-0,71;-4,07;2,86;0,22;-2,32;-2,54;1,25;;;;1,27;-2,17
196011;4,69;0,37;-2,37;0,13;4,73;4,6;3,74;;;;-2,55;1,05
196012;4,71;-1,57;-0,76;0,16;3,81;3,65;1,39;;;;-0,58;0,78
196101;6,2;0,66;3,66;0,19;8,17;7,98;-3,99;;;;3,72;1,21
196102;3,57;3,92;-0,64;0,14;6,13;5,99;0,98;;;;-2,73;1,28
196103;2,89;3,28;-0,7;0,2;4,96;4,76;4,51;;;;-3,02;1,48
196104;0,29;0,05;2,15;0,17;0,8;0,63;3,52;;;;0,85;1,89
196105;2,4;2,02;0,37;0,18;4,31;4,13;-1,56;;;;0,79;3,55
196106;-3,08;-2,49;-0,11;0,2;-4,12;-4,32;0,37;;;;-1,67;1,36
196107;2,83;-1,88;-0,09;0,18;1,13;0,95;0,24;;;;-0,32;1,33
196108;2,57;-1,75;-0,28;0,14;2,1;1,96;1,65;;;;-1,6;0,97
196109;-2,15;-1,06;-0,61;0,17;-2,93;-3,1;0,83;;;;-2,86;-1,65
196110;2,57;-1,63;0,15;0,19;2,14;1,95;3,13;;;;-0,51;-1,4
196111;4,45;1,26;-1,23;0,15;4,72;4,57;1,34;;;;-2,57;-0,49
196112;-0,18;-0,82;1,79;0,19;-0,4;-0,59;-2,24;;;;3,38;1,15
196201;-3,87;1,77;5,13;0,24;-0,78;-1,02;-2,07;;;;6,57;0,94
196202;1,81;-1,15;0,82;0,2;1,52;1,32;-1,02;;;;1,07;0,85
196203;-0,68;0,53;-1,38;0,2;-0,64;-0,84;1,83;;;;-1,11;0,65
196204;-6,59;-0,71;0,03;0,22;-6,8;-7,02;2,89;;;;0,54;-0,79
196205;-8,65;-3,34;2,77;0,24;-9,77;-10,01;0,38;;;;3,48;-0,09
196206;-8,47;-0,58;2,55;0,2;-8,48;-8,68;6,45;;;;1,74;-2,9
196207;6,28;1,51;-3,4;0,27;6,44;6,17;0,55;;;;-2;3,49
196208;2,13;1,22;-1,17;0,23;2,89;2,66;-0,58;;;;-1,1;-0,09
196209;-5,22;-2,45;1,26;0,21;-6,11;-6,32;3,95;;;;1,78;2,43
196210;-0,05;-3,97;1,3;0,25;-2,23;-2,48;0,75;;;;0,85;-2,11
196211;10,87;2,63;0,96;0,2;13,85;13,65;-7,17;;;;0,77;5,24
196212;1,01;-3,81;0,35;0,23;-0,93;-1,16;5,88;;;;-0,45;5,07
196301;4,93;3,07;2,22;0,25;7,91;7,66;-2,1;;;;1,62;4,54
196302;-2,38;0,5;2,17;0,23;-1,43;-1,66;2,52;;;;0,73;1,55
196303;3,08;-2,6;2,07;0,23;2,08;1,85;1,56;;;;1,25;1,4
196304;4,51;-1,31;0,99;0,25;3,84;3,59;-0,08;;;;1;-0,93
196305;1,76;1,12;2,53;0,24;3,27;3,03;0,37;;;;2,41;0,12
196306;-2;-0,29;0,75;0,23;-1,6;-1,83;1,17;;;;-0,23;1,8
196307;-0,39;-0,49;-0,94;0,27;-0,66;-0,93;1;0,66;-1,15;-0,45;-1,05;-0,03
196308;5,07;-1,02;1,82;0,25;4,25;4;1,03;0,4;-0,4;-0,82;1,58;1,4
196309;-1,57;-0,31;0,17;0,27;-1,13;-1,4;0,16;-0,76;0,24;-0,48;-0,09;1,19
196310;2,53;-0,57;-0,04;0,29;1,3;1,01;3,14;2,75;-2,24;-1,3;-0,21;-0,66
196311;-0,85;-1,15;1,7;0,27;-1,6;-1,87;-0,75;-0,45;2,22;-0,85;0;1,16
196312;1,83;-2,01;-0,06;0,29;-0,45;-0,74;1,7;0,07;-0,3;-1,9;-0,02;0,25
196401;2,24;-0,18;1,53;0,3;3,33;3,03;1,06;0,22;1,5;0,08;0,04;-0,38
196402;1,54;0,08;2,86;0,26;2,63;2,37;0,24;0,06;0,85;0,31;1,33;0,21
196403;1,41;0,94;3,37;0,31;2,79;2,48;0,71;-2,01;2,93;1,4;3,88;0,35
196404;0,1;-1,32;-0,66;0,29;0,14;-0,15;-0,6;-1,35;-1,08;-1,5;-2,52;3,35
196405;1,42;-0,94;1,99;0,26;0,73;0,47;2,54;-0,26;0,24;-0,7;-0,08;-1,3
196406;1,27;-0,27;0,72;0,3;1,01;0,71;0,45;-0,42;0,14;0,08;-0,47;0,52
196407;1,74;0,26;0,73;0,3;3;2,7;-0,38;0,14;1,84;0,52;-0,01;1,82
196408;-1,44;0,11;0,07;0,28;-0,6;-0,88;-0,19;0,06;0,36;0,31;-0,67;-1,07
196409;2,69;-0,53;1,72;0,28;3,82;3,54;-0,39;-0,48;0,58;-0,32;3,68;1,23
196410;0,59;0,42;1,15;0,29;1,95;1,66;0,08;-0,29;0,48;0,88;-0,72;1,24
196411;0;0,6;-1,95;0,29;-0,07;-0,36;1,08;0,6;-0,16;-0,27;-1,33;-0,75
196412;0,03;-0,26;-2,52;0,31;-1,34;-1,65;-0,69;1,13;-1,63;-0,58;-1,6;0,78
196501;3,54;2,72;0,16;0,28;7,34;7,06;-1,28;0,84;0,11;2,49;2,18;2,97
196502;0,44;3,5;0,16;0,3;3,36;3,06;0,3;0,4;-0,69;3,32;2,92;-0,57
196503;-1,34;1,81;1,05;0,36;1,42;1,06;0,1;-0,3;0,73;2,04;0,64;1,43
196504;3,11;1,2;0,68;0,31;4,1;3,79;2,54;0,26;-2,3;1,18;0,18;0,42
196505;-0,77;0,06;-1,63;0,31;-0,6;-0,91;0,54;-0,38;0,7;0,06;0,02;0,18
196506;-5,51;-4,36;0,56;0,35;-8,25;-8,6;-3,12;0,12;0,41;-4,3;-1,88;0,38
196507;1,43;0,87;2,18;0,31;2,92;2,61;4,1;-1,41;-0,02;1,08;1,59;2,54
196508;2,73;2,81;-0,96;0,33;4,19;3,86;2,58;2,06;-0,75;2,71;1,68;-1,35
196509;2,86;0,62;-0,09;0,31;2,72;2,41;3,37;-0,82;0,82;0,62;2,06;-1,36
196510;2,6;2,47;1,54;0,31;5,92;5,61;3,45;1,22;-0,76;3,42;0,94;-1,25
196511;-0,03;4,68;0,21;0,35;4,8;4,45;4,42;-1,06;-0,9;5,19;1,02;-2,29
196512;1,01;2,08;1,96;0,33;4,3;3,97;0,09;-1,28;-0,45;2,64;-0,22;2,84
196601;0,72;3,88;3,51;0,38;6,39;6,01;5,41;-2,83;-0,07;4,71;1,51;0,53
196602;-1,21;4,54;0,27;0,35;3,01;2,66;4,58;-0,15;-1,44;4,86;1,34;-2,7
196603;-2,51;0,94;-2,07;0,38;-0,88;-1,26;1,34;1,3;-0,01;0,22;0,67;-0,25
196604;2,14;3,45;-0,54;0,34;4,68;4,34;6,18;0,41;-0,91;3,36;1,52;-0,98
196605;-5,66;-4,68;-1,57;0,41;-8,75;-9,16;-4,69;1,66;-1,52;-5,18;-0,84;3,4
196606;-1,44;1,02;0,5;0,38;-0,56;-0,94;3,28;0,06;0,8;1,34;1,43;2,56
196607;-1,63;-0,46;0,99;0,35;-1,63;-1,98;-1,39;-0,45;1,77;-0,5;-0,41;1,24
196608;-7,91;-3,22;0,44;0,41;-10,06;-10,47;-2,11;0,05;0,77;-3,02;2,21;0,32
196609;-1,06;-1,06;0,49;0,4;-1,86;-2,26;-1,73;-1,65;2,5;-1,18;-1,65;1,07
196610;3,86;-6,62;2,86;0,45;-1,42;-1,87;-5,13;-3,64;4,28;-6,52;0,07;-1,46
196611;1,4;4,23;-4,53;0,4;4,15;3,75;5,73;4,17;-6,53;3,37;-0,15;9,07
196612;0,13;1,95;-1,28;0,4;1,61;1,21;1,07;0,68;-0,13;1,94;0,33;0,28
196701;8,15;8,25;2,45;0,43;17,4;16,97;-6,75;0,62;-2,97;8,97;0,54;3,55
196702;0,78;3,31;-2,15;0,36;4,35;3,99;3,56;1,94;-0,94;3,02;2,21;1,23
196703;3,99;1,54;0,46;0,39;5,92;5,53;1,42;0,9;-1,51;1,87;-0,86;1,84
196704;3,89;0,63;-2,52;0,32;4,16;3,84;0,64;2,43;-3,75;0,46;-3,58;0,48
196705;-4,33;1,95;0,99;0,33;-0,73;-1,06;0,67;-1,75;1,61;2,36;-0,3;1,8
196706;2,41;5,95;0,95;0,27;8,32;8,05;6,03;-0,64;-2,39;6,45;-0,4;-1,08
196707;4,58;3,02;2,8;0,31;8,38;8,07;-1,07;0,51;2,72;3,46;-1,61;0,1
196708;-0,89;0,47;1,39;0,31;0,72;0,41;-1,41;0,42;1,41;0,76;0,29;0,66
196709;3,11;3,11;-2,48;0,32;6,29;5,97;2,55;0,22;-0,95;2,47;-0,82;-0,62
196710;-3,09;1,42;-3,38;0,39;-2,12;-2,51;3,67;0,81;-2,55;0,47;0,37;-2,39
196711;0,37;0,21;-1,7;0,36;0,1;-0,26;1,29;1,29;-2,29;-0,06;-2,06;0,25
196712;3,05;5,74;-0,45;0,33;8,18;7,85;3,23;-0,64;0,03;5,76;1,85;-0,13
196801;-4,06;3,88;4,79;0,4;2,26;1,86;-4,64;-4,58;6,45;4,47;5,99;3,96
196802;-3,75;-2,96;1,18;0,39;-5,49;-5,88;-3,41;-0,14;2,49;-2,92;2,63;-0,81
196803;0,2;-1,28;-0,62;0,38;-1;-1,38;3,18;1,17;-1,15;-1,52;-2,46;1,51
196804;9,05;5,77;-1,14;0,43;14,21;13,78;5,15;2,79;-3,66;6,26;-4,9;-0,66
196805;2,28;6,42;0,86;0,45;9,35;8,9;3,73;0,39;-1,82;7,03;-1,86;-1,98
196806;0,69;-0,18;0,68;0,43;1,61;1,18;-1,92;-1,33;2,68;-0,27;2,69;3,75
196807;-2,72;-1,3;5,41;0,48;-2,81;-3,29;-0,84;-3;3,61;-1,33;6,27;-1,2
196808;1,34;2,35;1,01;0,42;3,58;3,16;1,88;-0,6;0,4;2,29;0,73;0,75
196809;4,03;2,76;0,33;0,43;6,91;6,48;-0,67;-2,03;0,92;2,77;0,08;-0,1
196810;0,42;-0,48;2,85;0,44;0,73;0,29;-1,52;-1,3;2,81;-0,43;2,69;1,33
196811;5,43;2,35;-0,9;0,42;7,24;6,82;1,73;0,46;-2,52;2,41;-2,15;3,34
196812;-3,94;3,43;0;0,43;0,45;0,02;0,11;-1,78;1,65;3,6;-1;2,35
196901;-1,25;-0,77;1,66;0,53;-0,37;-0,9;-0,15;-1,54;1,41;-0,46;2,32;2,4
196902;-5,84;-3,9;0,86;0,46;-8,61;-9,07;-2,46;2,17;0,8;-4,13;2,31;2,4
196903;2,64;-0,26;-0,52;0,46;1,96;1,5;3,95;-1,34;-0,42;-0,41;-0,02;0,34
196904;1,46;-0,87;-0,03;0,53;0,42;-0,11;1,17;0,38;0,06;-0,82;0,07;-1
196905;-0,1;-0,26;0,71;0,48;0,4;-0,08;1,68;-0,97;1,49;-0,18;1,36;1,44
196906;-7,18;-5,39;-1,1;0,51;-11,31;-11,82;-2,23;4,26;-1,55;-5,49;1,45;-0,13
196907;-7;-3,2;1,22;0,53;-9,59;-10,12;1,64;1,4;1,97;-3,37;2,99;-1,85
196908;4,68;0,93;-3,83;0,5;5,26;4,76;2,14;1,16;-4,08;0,7;-4,65;3,3
196909;-2,98;1,18;-3,27;0,62;-2,45;-3,07;2,53;3,42;-0,83;1,29;-1,11;0,6
196910;5,06;3,84;-3,04;0,6;9,4;8,8;-4,32;0,01;-2,03;3,9;-1,8;-0,55
196911;-3,79;-2,54;-1,15;0,52;-5,63;-6,15;3,6;1,44;0,32;-2,41;-0,51;1,16
196912;-2,63;-3,65;-3;0,64;-6,74;-7,38;5,05;2,47;-2,04;-3,69;0,09;-3,04
197001;-8,1;2,91;3,15;0,6;-3,96;-4,56;0,63;-1,77;3,92;3,09;4,09;-0,17
197002;5,13;-2,41;4,02;0,62;4,16;3,54;0,12;-2,28;3,06;-2,58;1,67;2,66
197003;-1,06;-2,32;4,09;0,57;-2,34;-2,91;-0,29;-0,87;4,43;-2,4;5,18;0,64
197004;-11;-6,09;6,21;0,5;-16,16;-16,66;-0,73;-0,64;5,88;-6,29;6,8;-4,48
197005;-6,92;-4,54;3,43;0,53;-9,07;-9,6;-2,73;-1,3;3,62;-4,42;3,94;-3,25
197006;-5,79;-2,14;0,6;0,58;-7,62;-8,2;5,78;0,19;2,9;-2,16;3,21;-0,15
197007;6,93;-0,55;1,01;0,52;5,83;5,31;-2,94;-0,07;1,9;-0,69;1,62;4,32
197008;4,49;1,53;1,02;0,53;6,27;5,74;-6,5;0,57;-0,15;1,55;-0,81;1,46
197009;4,18;8,56;-5,63;0,54;12,87;12,33;-8,92;0,24;-5,93;8,48;-7,7;0,55
197010;-2,28;-4,28;0,25;0,46;-6,02;-6,48;9,61;1,83;2,38;-4,5;0,7;6,89
197011;4,6;-4,07;1,67;0,46;0,24;-0,22;2,89;1,75;1,59;-4;1,9;-0,52
197012;5,72;3;0,86;0,42;8,34;7,92;-2,19;0,14;0,28;3,03;1,16;2,5
197101;4,84;7,37;1,33;0,38;13,8;13,42;-6,71;-2,19;-0,14;7,54;0,83;2
197102;1,41;1,86;-1,22;0,33;4,83;4,5;0,81;0,65;-0,72;2,04;-0,24;1,77
197103;4,13;2,5;-4,06;0,3;5,54;5,24;-1,21;1,97;-2,69;2,14;-2,11;0,21
197104;3,15;-0,5;0,71;0,28;2,68;2,4;1,32;-1,56;0,72;-0,38;1,97;0,91
197105;-3,98;-1,11;-1,48;0,29;-5,07;-5,36;0,89;1,46;0,3;-1,18;-0,67;0,56
197106;-0,1;-1,43;-1,82;0,37;-1,8;-2,17;2,72;1,52;-1,74;-1,45;-0,95;-0,89
197107;-4,5;-1,5;0,17;0,4;-5,65;-6,05;-2,37;0,48;1,62;-1,4;-2,83;1,46
197108;3,79;-0,18;2,56;0,47;4,23;3,76;3,51;-0,34;2,6;-0,18;1,86;5,46
197109;-0,85;0,43;-2,89;0,37;-0,59;-0,96;2,09;2,59;-1,56;0,2;-1,81;0,32
197110;-4,42;-1,8;-0,37;0,37;-5,86;-6,23;0,46;1,48;-1,24;-1,65;-0,06;-1,23
197111;-0,46;-2,8;-1,73;0,37;-3,36;-3,73;1,48;2,45;-0,36;-2,88;-0,89;-0,82
197112;8,71;3,29;-0,41;0,37;11,97;11,6;-0,68;-0,43;-1,83;3,26;0,74;3,72
197201;2,49;6,07;1,93;0,29;10,6;10,31;0,24;-1,48;0,29;6,31;3,01;-0,29
197202;2,87;1,4;-2,8;0,25;4,15;3,9;2,7;1,65;-0,52;0,96;-1,37;-0,02
197203;0,63;-0,3;-1,68;0,27;-0,1;-0,37;2,91;1,58;-0,19;-0,5;-1,63;1,46
197204;0,29;0,01;0,24;0,29;0,14;-0,15;2,9;-0,59;-0,89;0,15;-0,22;0,18
197205;1,25;-2,74;-2,73;0,3;-1,96;-2,26;3,18;2,33;-1,85;-3,14;-1,63;-1,05
197206;-2,43;0,34;-2,6;0,29;-3,44;-3,73;1,91;1,75;-0,36;-0,35;-1,05;-1,67
197207;-0,8;-2,86;0,71;0,31;-3,16;-3,47;2,74;1,08;-0,59;-2,74;-0,28;-2,25
197208;3,26;-4,07;4,64;0,29;1,17;0,88;-5,35;-2,02;2,95;-3,53;3,07;0,64
197209;-1,14;-2,67;0,51;0,34;-3,2;-3,54;1,76;1,67;-1,98;-2,25;-1,36;1,44
197210;0,52;-2,72;1,3;0,4;-1,5;-1,9;0,76;-0,12;-0,05;-2,52;0,27;-0,7
197211;4,6;-1,12;4,82;0,37;5,16;4,79;-5,14;-1,98;3,35;-0,54;1,43;3,35
197212;0,62;-1,87;-2,24;0,37;-2,15;-2,52;4,98;2,6;-2,2;-1,82;-2,3;3,88
197301;-3,29;-3,47;2,67;0,44;-4,07;-4,51;3,71;0,4;0,92;-2,79;0,02;-1,39
197302;-4,85;-3,99;1,71;0,41;-7,43;-7,84;2,12;-0,34;-0,01;-4,01;-0,2;-2,21
197303;-1,3;-2,81;2,73;0,46;-2,76;-3,22;3,62;-1,07;0,73;-2,31;1,03;0,43
197304;-5,68;-3,96;5,62;0,52;-7,3;-7,82;6,41;-1,63;2,71;-2,99;2,51;-0,66
197305;-2,94;-6,13;0,25;0,51;-8,34;-8,85;7,09;2,02;-1,79;-5,98;-2,42;-1,02
197306;-1,56;-2,93;1,37;0,51;-3,38;-3,89;4,32;-0,27;0,22;-2,53;-0,45;0,16
197307;5,05;7,97;-5,32;0,64;10,98;10,34;-11,69;-0,1;-3,46;7,28;0,39;9,56
197308;-3,82;-2,12;1,32;0,7;-4,53;-5,23;3,42;-1,36;1,2;-1,79;0,35;1,77
197309;4,75;3,07;2,01;0,68;7,34;6,66;-7,03;-2,3;1,82;3,58;5,75;1,63
197310;-0,83;-0,4;2,03;0,65;-0,33;-0,98;6,74;-1,94;2,59;-0,32;2,48;1,81
197311;-12,75;-7,65;3,91;0,56;-17,61;-18,17;8,63;-2,71;1,5;-7,24;-2,33;-4,59
197312;0,61;-5,25;3,9;0,64;-4,07;-4,71;10,39;-2,8;2,3;-4,59;2,62;0,37
197401;-0,17;9,66;5,99;0,63;13,25;12,62;-8,82;-3,01;4,46;10,38;7,72;9,16
197402;-0,47;-0,13;2,86;0,58;0,71;0,13;0,14;-1,93;2,67;0,1;4,57;0,76
197403;-2,81;2,59;-0,28;0,56;0,94;0,38;-0,99;2,82;0,36;2,67;-0,17;4,02
197404;-5,29;-0,71;0,95;0,75;-5,33;-6,08;2;2,86;1,84;-0,63;1,27;-1,33
197405;-4,68;-3,03;-2,08;0,75;-6,97;-7,72;-0,26;5,08;-0,01;-3,17;-3;-2,88
197406;-2,83;-0,16;0,78;0,6;-3,04;-3,64;2,37;0,62;3,05;-0,01;-1,75;-0,97
197407;-8,05;0,92;5,14;0,7;-5,32;-6,02;3,01;-3,26;4,58;1,99;3,33;0,92
197408;-9,35;-0,68;2,5;0,6;-8,14;-8,74;3;-0,26;2,55;0,3;1,98;2,07
197409;-11,77;0,27;5,49;0,81;-7,9;-8,71;4,32;-4,28;5,91;1,46;0,79;3,32
197410;16,1;-3,51;-9,99;0,51;9,06;8,55;-0,5;-0,03;-2,94;-6,85;-4,79;8,81
197411;-4,51;-1,17;-0,16;0,54;-4,89;-5,43;2,18;-3,39;2,95;-1,44;0,13;-0,31
197412;-3,45;-4,84;0;0,7;-7,73;-8,43;2,95;-0,65;3,23;-4,36;-3,95;-0,35
197501;13,66;11,01;8,44;0,58;29,02;28,44;-13,89;-0,89;-0,86;12,79;14,5;14,76
